WARNING:  [23-06-2026 02:10:55] chroma_server_nofile is not supported on Windows. chroma_server_nofile will not be set.
INFO:     [23-06-2026 02:23:28] 127.0.0.1:59562 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
DEBUG:    [23-06-2026 02:23:28] Collection instansi_knowledge_base already exists, returning existing collection.
ERROR:    [23-06-2026 02:23:28] Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
INFO:     [23-06-2026 02:23:28] 127.0.0.1:59560 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections HTTP/1.1" 200
INFO:     [23-06-2026 02:23:28] 127.0.0.1:59560 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections/cb2d96fc-cc55-4922-b42c-baa5a6d1c7e7/delete HTTP/1.1" 200
INFO:     [23-06-2026 02:24:44] 127.0.0.1:63477 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:24:46] 127.0.0.1:63479 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:24:46] 127.0.0.1:63479 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
DEBUG:    [23-06-2026 02:24:46] Collection instansi_knowledge_base already exists, returning existing collection.
ERROR:    [23-06-2026 02:24:46] Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
INFO:     [23-06-2026 02:24:46] 127.0.0.1:63477 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections HTTP/1.1" 200
INFO:     [23-06-2026 02:24:46] 127.0.0.1:63477 - "GET /api/v2/pre-flight-checks HTTP/1.1" 200
INFO:     [23-06-2026 02:24:47] 127.0.0.1:63477 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections/cb2d96fc-cc55-4922-b42c-baa5a6d1c7e7/add HTTP/1.1" 201
INFO:     [23-06-2026 02:27:32] 127.0.0.1:50865 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:27:34] 127.0.0.1:50867 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:27:34] 127.0.0.1:50867 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
DEBUG:    [23-06-2026 02:27:34] Collection instansi_knowledge_base already exists, returning existing collection.
ERROR:    [23-06-2026 02:27:34] Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
INFO:     [23-06-2026 02:27:34] 127.0.0.1:50865 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections HTTP/1.1" 200
ERROR:    [23-06-2026 02:27:35] Failed to send telemetry event CollectionQueryEvent: capture() takes 1 positional argument but 3 were given
INFO:     [23-06-2026 02:27:35] 127.0.0.1:50865 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections/cb2d96fc-cc55-4922-b42c-baa5a6d1c7e7/query HTTP/1.1" 200
INFO:     [23-06-2026 02:30:50] 127.0.0.1:55733 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:30:52] 127.0.0.1:55735 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:30:52] 127.0.0.1:55735 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
DEBUG:    [23-06-2026 02:30:52] Collection instansi_knowledge_base already exists, returning existing collection.
ERROR:    [23-06-2026 02:30:52] Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
INFO:     [23-06-2026 02:30:52] 127.0.0.1:55733 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections HTTP/1.1" 200
INFO:     [23-06-2026 02:30:53] 127.0.0.1:55733 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections/cb2d96fc-cc55-4922-b42c-baa5a6d1c7e7/query HTTP/1.1" 200
INFO:     [23-06-2026 02:31:28] 127.0.0.1:49294 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:31:28] 127.0.0.1:49295 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:31:30] 127.0.0.1:49298 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:31:30] 127.0.0.1:49298 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
INFO:     [23-06-2026 02:31:30] 127.0.0.1:49294 - "GET /api/v2/heartbeat HTTP/1.1" 200
INFO:     [23-06-2026 02:31:30] 127.0.0.1:49299 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:31:30] 127.0.0.1:49299 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
INFO:     [23-06-2026 02:31:30] 127.0.0.1:49295 - "GET /api/v2/heartbeat HTTP/1.1" 200
INFO:     [23-06-2026 02:31:32] 127.0.0.1:49302 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:31:33] 127.0.0.1:49303 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:31:35] 127.0.0.1:49306 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:31:35] 127.0.0.1:49306 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
INFO:     [23-06-2026 02:31:35] 127.0.0.1:49302 - "GET /api/v2/heartbeat HTTP/1.1" 200
INFO:     [23-06-2026 02:31:35] 127.0.0.1:49307 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:31:35] 127.0.0.1:49307 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
INFO:     [23-06-2026 02:31:35] 127.0.0.1:49303 - "GET /api/v2/heartbeat HTTP/1.1" 200
INFO:     [23-06-2026 02:32:12] 127.0.0.1:51521 - "GET /api/v2/auth/identity HTTP/1.1" 200
INFO:     [23-06-2026 02:32:15] 127.0.0.1:51523 - "GET /api/v2/tenants/default_tenant HTTP/1.1" 200
INFO:     [23-06-2026 02:32:15] 127.0.0.1:51523 - "GET /api/v2/tenants/default_tenant/databases/default_database HTTP/1.1" 200
DEBUG:    [23-06-2026 02:32:15] Collection instansi_knowledge_base already exists, returning existing collection.
ERROR:    [23-06-2026 02:32:15] Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
INFO:     [23-06-2026 02:32:15] 127.0.0.1:51521 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections HTTP/1.1" 200
INFO:     [23-06-2026 02:32:15] 127.0.0.1:51521 - "POST /api/v2/tenants/default_tenant/databases/default_database/collections/cb2d96fc-cc55-4922-b42c-baa5a6d1c7e7/query HTTP/1.1" 200
